#,Brand,Industry,Times Advertised,Unique Profiles,Decision Maker,Role,Email,Influencer1,Role,Email,Influencer2,Role,Email,Influencer3,Role,Email,Influencer4,Role,Email,Variants Merged,All Variants
6408.0,by DOUKAS,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6409.0,By Kilian,Fragrance,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6410.0,BShiny,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6411.0,BSR Boutique,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6412.0,Buildgram Video Course,Education / Marketing,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6413.0,Buldak (Samyang),Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6414.0,Bulleit Bourbon,Beverages,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6415.0,"Bullrich, Korres, MegRhythm, Balea, Byrokko",Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6416.0,Bundesliga,Sports,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6417.0,Bunga 90,Entertainment & Hospitality,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6418.0,Bratz,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6419.0,Breadly Bakery,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6420.0,Break,Confectionery,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6421.0,Breeze Performance,Automotive,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6422.0,Brembo,Automotive / Performance Parts,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6423.0,BRONX Shoes,Footwear,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6424.0,Brooks,Fitness Apparel,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6425.0,Brothers,Cafe / Food Service,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6426.0,CD Media,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6427.0,Cena,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6428.0,Centellian24,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6429.0,Centro Kitchen,Home / Furniture,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6430.0,CeraVe and La Roche-Posay,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6431.0,"CeraVe, La Roche-Posay",Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6432.0,"CeraVe, La Roche-Posay, Vichy Laboratoires",Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6433.0,Chaleur,Home,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6434.0,Caroline Svedbom,Fashion / Jewelry,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6435.0,Casa Baby,Baby Furniture,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6436.0,Casori,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6437.0,Castañer,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6438.0,Caterpillar,Automotive,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6439.0,Catoikos,Pet,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6440.0,Caviar Cream,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6441.0,CD Diamantidou,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6442.0,Caprus,Food & Beverage,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6443.0,Capsule,Apparel,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6444.0,Car Evolution,Automotive,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6445.0,Cardom,Automotive,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6446.0,Care Goals,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6447.0,Carifit,Fitness,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6448.0,Carlo Dali London,Beauty & Luxury Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6449.0,Carnaby Cosmetics,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6450.0,Callos The Brand,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6451.0,Calorief,Dietary Supplements,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6452.0,Cam Cam Copenhagen,Baby Products,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6453.0,Candle Tales,Home & Lifestyle,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6454.0,Candleland Stories,Home Goods,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6455.0,Candlelistas,Home,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6456.0,Cannon,Home Goods,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6457.0,Cappadocia Grill,Restaurant,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6458.0,Cointreau,Alcoholic Beverages,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6459.0,Coletto,Baby Gear,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6460.0,Collector's Cage,Retail (Luxury Second Hand),3.0,3.0,,,,,,,,,,,,,,,,1.0,
6461.0,Colourglow,Personal Styling / Consulting,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6462.0,COMBOS,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6463.0,Comedy Lab,Entertainment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6464.0,Comet,Food & Beverage,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6465.0,Compañía Fantástica,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6466.0,Ciroc,Alcohol,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6467.0,Cloud 22,Hospitality,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6468.0,Cloudy Butter,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6469.0,Club Avolta,Loyalty Program,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6470.0,CLUBaki,Entertainment / Nightlife,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6471.0,CNN Greece,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6472.0,CO Clothes,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6473.0,Coffee Bird,Food & Beverage,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6474.0,Chewy Vites,Health & Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6475.0,Chios Beer,Food & Beverage,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6476.0,Chipotle,Fast Casual Restaurant / Mexican Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6477.0,Christina Doukouziani / The Video For Business Method,Education,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6478.0,Christoforos Zaralikos,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6479.0,Chrome Hearts,Luxury Fashion / Accessories,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6480.0,Cien,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6481.0,CIN CIN,Fashion / Apparel,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6482.0,Chamomileco,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6483.0,Champion,Apparel / Sportswear,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6484.0,Chaotic Impression,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6485.0,Chara Kitsou,Self-Improvement,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6486.0,Charalambos Soleas,Health,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6487.0,chef SELECT,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6488.0,Chemise Premium Collection,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6489.0,Cherry Up,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6490.0,Da Campo,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6491.0,DaHa Project,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6492.0,Daily Concepts,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6493.0,Daily Mail,News / Media,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6494.0,dakee,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6495.0,Dalkance,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6496.0,Damascus,Restaurant / Food Service,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6497.0,Dambuster Studios,Gaming,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6498.0,Crispo,Food / Confectionery,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6499.0,Cristiano Ronaldo (CR7),Sports / Entertainment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6500.0,Cristina Beautiful Life,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6501.0,Crocus Nails Club,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6502.0,Crown Paints,Home Improvement / Paint,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6503.0,Cycladic Shop,Arts and Crafts,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6504.0,D Joy Lab,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6505.0,D&S Boutique,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6506.0,CoverGirl,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6507.0,COYA,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6508.0,Cozy Kids,Home Decor & Children's Furniture,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6509.0,Cp herbalist,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6510.0,Creative Technology,Consumer Electronics,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6511.0,Creed,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6512.0,Cretan Comic Con,Entertainment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6513.0,Cricut,Crafting & Technology,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6514.0,Con Mis Manos Jewels,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6515.0,Cool Kids Never Die (CKND),Entertainment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6516.0,Copper Beach Bar,Hospitality,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6517.0,"Cosmoradio 95,1",Media,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6518.0,CosmosPet,Pet,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6519.0,Cosselie,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6520.0,Costa Coffee,Food & Beverage,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6521.0,Cotton Hugs,Baby Clothing,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6522.0,Denza,Automotive,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6523.0,DEOS,Hospitality / Food & Beverage,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6524.0,Deos Athens,Food & Beverage,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6525.0,Deroz Project,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6526.0,Des,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6527.0,Designer Outlet Athens,Lifestyle,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6528.0,Desperate Jewelry,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6529.0,Despina Vandi,Entertainment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6530.0,Deka Kolonaki,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6531.0,Dekaraki,Alcoholic Beverages,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6532.0,Delicious Souvlaki,Food & Beverage,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6533.0,Delirio jewels,Fashion / Jewelry,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6534.0,Della Casa,Home,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6535.0,DeLonghi,Home Appliances,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6536.0,Democritus University of Thrace,Education,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6537.0,Dental Lifestyle,Health,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6538.0,Daskalakis Kosmima,Jewelry,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6539.0,Daytona,Automotive,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6540.0,Dazzling / Unstable Artouch,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6541.0,De Sol Spa Hotel,Hospitality,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6542.0,DE-TOX,Apparel and Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6543.0,Dearnailbar,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6544.0,Debet,Gambling,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6545.0,Dee,Music,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6546.0,Damilk Atelier,Food & Beverage,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6547.0,Damkalidis,Retail,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6548.0,DANAE,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6549.0,Dance Athens,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6550.0,Dandan Jewels & More,Art & Home Decor,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6551.0,Dandelion Stories,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6552.0,Dani Gambino,Music,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6553.0,Daphne Valente,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6554.0,DNA High Performance Filters,Automotive,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6555.0,Doctor Pepper Tattoo,Art,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6556.0,Dofundo,Retail,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6557.0,Dolce Domenica,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6558.0,Doll Beauty,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6559.0,Domaine Costa Lazaridi,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6560.0,Domela Collection,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6561.0,Donini,Jewelry and Watch Retail,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6562.0,Dio School of Magic (Σχολή Μαγείας),Education,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6563.0,DIONE PROJECT,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6564.0,Discover Pelion,Travel,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6565.0,Divani Apollon Palace & Thalasso,Hospitality / Luxury Hotels,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6566.0,Divine Beauty by Gogo,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6567.0,Dixan,Home,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6568.0,Dixit,Board Games,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6569.0,DJI Osmo Pocket 2,Technology,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6570.0,Dido Cosmetics,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6571.0,Dieticious,Health,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6572.0,Digital Soul Entertainment,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6573.0,Dimitra Ioannidi,Art,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6574.0,Dimitra Nelli,Interior Design,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6575.0,Dimitra Nelli Interior Design,Home,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6576.0,Dimitris Andritsos Photography,Photography,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6577.0,Dimitris Tzeferakos,Health,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6578.0,Dessus Relaxation,Home Furnishings,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6579.0,Develop Store,Fitness,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6580.0,Dew Products,Household Cleaning,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6581.0,Dexter,Tools,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6582.0,Diafano,Home,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6583.0,Diageo,Alcoholic Beverages,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6584.0,Diamond FX,Beauty / Cosmetics,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6585.0,DIANA BY BLOOM,Children's Apparel / Event Planning,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6586.0,DrTopSmile,Dental Services,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6587.0,Drunk Sinatra,Entertainment / Hospitality,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6588.0,DRYRO,Athletic Apparel,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6589.0,DUCK,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6590.0,Dueloit,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6591.0,Dumb Ways to Die,Gaming,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6592.0,Durable.co,Technology,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6593.0,Dysport,Pharmaceuticals / Cosmetic Procedures,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6594.0,Dr. Valvis Beauty Clinic,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6595.0,Dr. Vasileios Christopoulos,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6596.0,Dream Hospitality Group,Business,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6597.0,Dreams Luxury Suites,Hospitality / Luxury Travel,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6598.0,Dreamy Santorini Proposals,Event Planning,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6599.0,DrGkritzalis,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6600.0,Drive Hellas,Automotive,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6601.0,Drive Park,Entertainment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6602.0,Dr. Amalia Tsiatoura,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6603.0,Dr. Andreas Ioannides - Advanced Plastic Surgery Clinic,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6604.0,Dr. Angelos Karatzias,Cosmetic Surgery,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6605.0,Dr. Drakotos,Health,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6606.0,Dr. George Karkatzoulis,Health,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6607.0,Dr. Gkritzalis,Cosmetic Medicine / Health,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6608.0,Dr. Katerina Vergeti,Beauty & Health,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6609.0,Dr. Keramidas,Art,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6610.0,Donna Karan,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6611.0,Doors Athens,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6612.0,Dora Dora Clothing,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6613.0,Dos Hermanos Mexican Cuisine,Food,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6614.0,dotfashion.gr,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6615.0,Dove Advanced Care,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6616.0,Dpharmacy.gr,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6617.0,DpS Athens,Art,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6618.0,Elena Paulidou,Health,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6619.0,Elena Store,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6620.0,Eleonora Zouganeli Summer Tour 2025,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6621.0,Elephant Beach House,Accommodation / Hospitality,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6622.0,Eleven Fit,Nutrition / Supplements,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6623.0,Eleven Huesday,Beauty / Cosmetics / Skincare,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6624.0,Elia,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6625.0,Elpida Association,Non-profit / Social Welfare,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6626.0,Ekdoseis Kastanioti,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6627.0,El Greco Natural Herbs & Teas,Food / Beverage,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6628.0,EL MAZ Hair Salon,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6629.0,Elate Private Cooking,Cooking / Event Venue,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6630.0,ELEH,Fashion,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6631.0,Element,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6632.0,Elena Charou,Music,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6633.0,Elena Mouratidou,Self-Improvement,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6634.0,EcoTools,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6635.0,Eden Music Boutique,Entertainment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6636.0,Edifier,Consumer Electronics,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6637.0,Edward Jeans,Apparel and Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6638.0,Eftihia Leka,Business,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6639.0,Einai Epilogi mou (Song),Music,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6640.0,Eirini Danihl Fitness,Fitness,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6641.0,Ekdoseis Anubis,Business,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6642.0,e-evros.gr,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6643.0,E-factory,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6644.0,e-fresh.gr,E-commerce / Grocery Retail,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6645.0,E's Fashion Boutique,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6646.0,EA7 Emporio Armani,Apparel & Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6647.0,East Coast Concept Store,Food & Beverage / Retail,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6648.0,EasyGather,Mobile Application/Technology,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6649.0,Eatalian Pizzeria,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6650.0,Ethos,Restaurant,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6651.0,Etien,Food / Dining,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6652.0,Etien Pizza Bar,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6653.0,Etro,Fashion,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6654.0,Eu-med Boutique of Med-Aesthetics,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6655.0,Eubiotica,Health,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6656.0,Eva Belle,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6657.0,Exaireton,Bakery/Pastry,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6658.0,Essentials Fear of God,Apparel,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6659.0,Essex,Household care,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6660.0,Estée Lauder x Ladurée,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6661.0,Estetica Hellas,Beauty,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6662.0,Estras.gr,Jewelry / Accessories,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6663.0,Etalon Mix,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6664.0,Eternal Muse,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6665.0,Ether,Restaurant / Hospitality,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6666.0,Ergobaby,Baby Gear,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6667.0,Ergon Agora,Food / Hospitality,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6668.0,Ergon House,Hospitality,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6669.0,Ericia Beauty,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6670.0,Erithel,Beauty Retail / E-commerce,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6671.0,Eros,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6672.0,ERT3,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6673.0,eSnacks.gr,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6674.0,Elsta Seminars,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6675.0,Enora Jewels,Fashion,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6676.0,Enterprise Rent-A-Car,Automotive,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6677.0,Epanomitis Clutch Performance,Automotive,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6678.0,EPOS burgers,Food,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6679.0,Epsilon TV,Entertainment,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6680.0,Epson,Technology,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6681.0,Eptalofos Resort,Hospitality,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6682.0,Feng Shui Road,Jewelry,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6683.0,FENGQS,Automotive,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6684.0,Fifine,Audio Equipment,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6685.0,Figlmüller,Food,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6686.0,Filio Sarantinou MUA,Beauty,3.0,1.0,,,,,,,,,,,,,,,,1.0,
6687.0,Filoi gia Panta (Movie),Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6688.0,Fimmanlouis Cosmetics,Beauty,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6689.0,Finns Beach Club,Entertainment,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6690.0,Fani Oikonomopoulou,Nutrition,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6691.0,Farizon,Automotive,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6692.0,Farma Koukaki,Dairy / Beverage,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6693.0,FastRabbit,Food,3.0,2.0,,,,,,,,,,,,,,,,1.0,
6694.0,Fatto a Mano,Dessert / Pastry Shop,3.0,3.0,,,,,,,,,,,,,,,,1.0,
6695.0,Fedon,Confectionery / Food Production,3.0,3.0,,,,,,,,,,,,,,,,1.0,
